
Loading weights:   0%|          | 0/290 [00:00<?, ?it/s]
Loading weights:  50%|████▉     | 144/290 [00:00<00:00, 1439.10it/s]
Loading weights: 100%|██████████| 290/290 [00:00<00:00, 1717.18it/s]
dense_full_trainable_parameters=494032768
      "grad_norm": 0.6706351637840271
    },
    {
      "step": 3725,
      "loss": 0.020030194893295494,
      "grad_norm": 145.6227569580078
    },
    {
      "step": 3750,
      "loss": 5.811448309245293e-07,
      "grad_norm": 0.000349961657775566
    },
    {
      "step": 3775,
      "loss": 0.0012425034309391236,
      "grad_norm": 4.877408981323242
    },
    {
      "step": 3800,
      "loss": 0.035524243974396796,
      "grad_norm": 222.41505432128906
    },
    {
      "step": 3825,
      "loss": 0.0008430683896314406,
      "grad_norm": 3.6877317428588867
    },
    {
      "step": 3850,
      "loss": 9.312978942688233e-06,
      "grad_norm": 0.03497527912259102
    },
    {
      "step": 3875,
      "loss": 4.850927690114304e-05,
      "grad_norm": 0.3330915868282318
    },
    {
      "step": 3900,
      "loss": 1.034120911480585e-05,
      "grad_norm": 0.017497384920716286
    },
    {
      "step": 3925,
      "loss": 3.1292431579288404e-07,
      "grad_norm": 0.0001574706402607262
    },
    {
      "step": 3950,
      "loss": 6.556506262356265e-07,
      "grad_norm": 0.002128791995346546
    },
    {
      "step": 3975,
      "loss": 0.00041360143649882275,
      "grad_norm": 2.9081408977508545
    },
    {
      "step": 4000,
      "loss": 1.5348160502526298e-06,
      "grad_norm": 0.0014449524460360408
    }
  ],
  "checkpoints": [
    {
      "step": 2000,
      "checkpoint": "outputs/stage5/stage5_phase_a_dense_full_bc_20260713/train/B/dense_full_step_2000",
      "drive_backup": "/content/drive/MyDrive/recurrent-qwen-svgd-checkpoints/stage5_phase_a_dense_full_bc_20260713/B/dense_full_step_2000"
    },
    {
      "step": 4000,
      "checkpoint": "outputs/stage5/stage5_phase_a_dense_full_bc_20260713/train/B/dense_full_step_4000",
      "drive_backup": "/content/drive/MyDrive/recurrent-qwen-svgd-checkpoints/stage5_phase_a_dense_full_bc_20260713/B/dense_full_step_4000"
    }
  ],
  "final_checkpoint": "outputs/stage5/stage5_phase_a_dense_full_bc_20260713/train/B/dense_full_step_4000",
  "final_checkpoint_drive_backup": "/content/drive/MyDrive/recurrent-qwen-svgd-checkpoints/stage5_phase_a_dense_full_bc_20260713/B/dense_full_step_4000"
}
